mjsdxxb12q3bA01	16的平方根是（)<br/>
mjsdxxb18q6cA04	如图,以两条直线的交点坐标为解的方程组是（  ）<br/>
mjsdxxb18q6cA05	如图函数\\[{{y}_{1}}=-2x\\]与\\[{{y}_{2}}=ax+3\\]的图象相交于点，则关于\\[x\\]的不等式的解集是（    ）<br/>
mjsdxxb18q6cA06	一次函数\\[y=ax+b\\]的图象如图所示，则不等式\\[ax+b\\ge 0\\]的解集是________,一次函数的图象与坐标轴围成的三角形的面积为_________.<br/>
mjsdxxb18q6cA07	如图,正比例函数\\[{{y}_{1}}={{k}_{1}}x\\]和一次函数\\[{{y}_{2}}={{k}_{2}}x+b\\]的图像相交于点\\[A\\] (2,1),当\\[x< 2\\]时, \\[{{y}_{1}}\\]_______\\[{{y}_{2}}\\]（填“\\[>\\]”或“\\[<\\]”）<br/>
mjsdxxb18q6cA08	如图，已知函数\\[y=3x+b\\]和\\[y=ax-3\\]的图像交于点\\[P\\left( -2,-5 \\right)\\]，则根据图象可得方程\\[3x+b=ax-3\\]的解是_______.<br/>
mjsdxxb18q6cA09	一次函数\\[y=ax+b\\]（\\[a\\]、\\[b\\]是常数），\\[x\\]与\\[y\\]的部分对应值如表1，那么方程\\[ax+b=0\\]的解是___________；不等式\\[ax+b> 0\\]的解集是__________.<br/>
mjsdxxb18q6cA10	一次函数\\[y=3-x\\]与\\[y=3x-5\\]的图像交点坐标是__________，它可以看作是二元一次方程组__________的解。<br/>
mjsdxxb18q6cA11	如图，是函数\\[y=kx+b\\]与\\[y=mx+n\\]的图象，求方程组\\[\\left\\{ \\begin{align}  & y=kx+b \\\\  & y=mx+n \\\\ \\end{align} \\right.\\]的解关于原点对称的点的坐标是__________.<br/>
mjsdxxb18q6cA12	两直线和\\[y=2x-1\\]和\\[y=2x-3\\]的图象位置关系为___________,由此可知方程组\\[\\left\\{ \\begin{align}  & 2x-y=1 \\\\  & 2x-y=-3 \\\\ \\end{align} \\right.\\]的解的情况为_____________.<br/>
mjsdxxb18q6cA13	在数学学习中,及时对知识进行归纳和整理是改善学习的重要方法.善于学习的小明在学习了一次方程(组)、一元一次不等式和一次函数后，结合图把相关知识归纳整理如下：<br/>（1）请你根据以上方框中的内容在下面数字序号后写出相应的结论: ①_______；②________；③_______；④_______；<br/>（2）如果点\\[C\\]的坐标为（1,3），那么不等式\\[kx+b\\ge {{k}_{1}}x+{{b}_{1}}\\]的解集是_________.<br/>
mjsdxxb18q6cA14	在平面直角坐标系中，一次函数\\[y=kx+b\\] (\\[k\\]，\\[b\\]都是常数,且\\[k\\ne 0\\])的图象经过点（1,0）和（0,2） <br/>(1)当\\[-2< x\\le 3\\]时，求\\[y\\]的取值范围；<br/>(2)已知点\\[P\\]在（\\[m\\]，\\[n\\]）该函数的图象上，且\\[m-n=4\\],求点\\[P\\]的坐标.<br/>
mjsdxxb18q6cA15	已知直线\\[y=3x\\]与\\[y=-\\frac{1}{2}x+m\\]交于点（\\[\\frac{8}{7}\\]，\\[n\\]）<br/>(1)求\\[m\\]、\\[n\\]的值；<br/>(2)这两条直线与坐标轴围七的三角形面积是多少？<br/>
mjsdxxb18q6cA16	“五一”期间，小明一家乘坐高铁前往某市旅游，计划第二天租用新能源汽车自驾出游.请看图。根据图的信信息，解答下列问题：<br/>(1)设租车时间为\\[x\\]小时，租用甲公司的车需费用为\\[{{y}_{1}}\\]元，租用乙公司的车为\\[{{y}_{2}}\\]，分别求出别求出\\[{{y}_{1}}\\]，\\[{{y}_{2}}\\]关于\\[x\\]的函数表达式；<br/>(2)请你帮助小明计算并选择哪个出游方案合算.<br/>
mjhsfzstyj9A21c01	方程\\[\\left( m-2 \\right){{x}^{2}}+3mx+1=0\\]是关于\\[x\\]的一元二次方程，则（  ）<br/>
mjhsfzstyj9A21c02	方程\\[2{{x}^{2}}-6x-5=0\\]的二次项系数、一次项系数、常数项分别为（ ）<br/>
mjhsfzstyj9A21c03	—元二次方程\\[{{x}^{2}}-2x=0\\]根的判别式的值为（  ）<br/>
mjhsfzstyj9A21c04	—元二次方程\\[{{x}^{2}}-6x-6=0\\]配方后化为（  ）<br/>
mjhsfzstyj9A21c05	—元二次方程\\[{{x}^{2}}-7x-2=0\\]的实数根的情况是（  ）<br/>
mjhsfzstyj9A21c06	关于\\[x\\]的一元二次方程\\[{{x}^{2}}+3x+m=0\\]有两个不相等的实数根,则\\[m\\]的取值范围为（  ）<br/>
mjhsfzstyj9A21c07	—元二次方程\\[3{{x}^{2}}-1=2x+5\\]两实根的和与积分别是（  ）<br/>
mjhsfzstyj9A21c08	关于\\[x\\]的一元二次方程\\[\\left( a-1 \\right){{x}^{2}}+3x-2=0\\]的实数根,则\\[a\\]的取值范围为（  ）<br/>
mjhsfzstyj9A21c09	关于\\[x\\]的一元二次方程\\[{{x}^{2}}+\\left( {{a}^{2}}-2a \\right)x+a-1=0\\]的两个实数根为相反数,则\\[a\\]的值为（  ）<br/>
mjhsfzstyj9A21c10	某景点的参观人数逐渐增加,据统计，2014年为10.8万人次，2016年为16.8万人次，设参观人次的平均年增长率为\\[x\\]，则（  ）<br/>
mjhsfzstyj9A21c11	已知一元二次方程\\[{{x}^{2}}-3x+k=0\\]有两个相等的实数根，则\\[k=\\_\\_\\_\\_\\_\\_\\_.\\]<br/><br/>
mjhsfzstyj9A21c12	已知\\[x=1\\]是关于\\[x\\]的方程\\[a{{x}^{2}}-2x+3=0\\]的一个根，则\\[a=\\_\\_\\_\\_\\_\\_\\_.\\]<br/>
mjhsfzstyj9A21c13	关于\\[x\\]的一元二次方程\\[\\left( k-1 \\right){{x}^{2}}+6x+{{k}^{2}}-k=0\\]的一个根是0,则\\[k\\]的值为__________。<br/>
mjhsfzstyj9A21c14	已知一元二次方程\\[{{x}^{2}}-3x-4=0\\]的两根是\\[m\\]、\\[n\\]，则\\[{{m}^{2}}+{{n}^{2}}=\\_\\_\\_\\_\\_.\\]<br/>
mjhsfzstyj9A21c15	某校要组织一次乒乓球邀请赛，参赛的每两个队之间都要比赛一场，根据场所和时间等条件，赛程计划安排2天，每天安排5场比赛.设比赛组织者应邀请\\[x\\]个队参赛，则\\[x\\]满足的方程为________。<br/>
mjhsfzstyj9A21c16	解方程 :<br/>(1)\\[\\left( x-3 \\right)\\left( x-1 \\right)=3\\]；<br/>(2)\\[{{x}^{2}}+4x-1=0\\]；<br/>(2)用公式法解：\\[{{x}^{2}}-6x+8=12\\] <br/>
mjhsfzstyj9A21c17	已知关于\\[x\\]的方程\\[{{x}^{2}}+\\left( 2k-1 \\right)x+{{k}^{2}}-1=0\\]有两个实数根\\[{{x}_{1}}\\]、\\[{{x}_{2}}\\]。<br/>（1）求实数\\[k\\]的取值范围；<br/>（2）若\\[{{x}_{1}}\\]、\\[{{x}_{2}}\\]满足\\[x_{1}^{2}+x_{2}^{2}=16+{{x}_{1}}{{x}_{2}}\\]，求实数\\[k\\]的值。<br/>
mjhsfzstyj9A21c18	如图，一块长5米宽4米的地毯，为了美观设计了两横、两纵的配色条纹（图中阴影部分），已知配色条纹的宽度相同，所占面积是整个地毯面积的\\[\\frac{17}{80}\\]。<br/>（1）求配色条纹的宽度；<br/>（2）如果地毯配色条纹部分每平方米造价200元，其余部分每平方米造价100元，求地毯的总造价。<br/>
mjhsfzstyj9A21c19	今年，我市某中学响应习总书记“足球进校园”的号召，开设了“足球大课间”活动，现需要购进100个某品牌的足球供学生使用，经调查，该品牌足球2015年单价为200元，2017年单价为162元。<br/>（1）求2015年到2017年该品牌足球单价平均每年降价的百分率；<br/>（2）选购期间发现该品牌足球在两个文体用品商场有不同的促销方案。<br/>试问去哪个商场购买足球更优惠？<br/>
mjhsfzstyj9A21c20	附加题：<br/>《九章算术》中的“折竹抵地”问题：今有竹高一丈，来折抵地，去根六尺，问折高着几何？意思是：一根竹子，原高一丈（一丈=10尺），一阵风将竹子折断，其竹梢恰好抵地，抵地处离竹子底部6尺远，问折断处离地面的高度是多少？设折断处离地面的高度为\\[x\\]尺，则可列方程为（   ）。<br/>A.\\[{{x}^{2}}-6={{\\left( 10-x \\right)}^{2}}\\]  B.\\[{{x}^{2}}-{{6}^{2}}={{\\left( 10-x \\right)}^{2}}\\] <br/>C.\\[{{x}^{2}}+6={{\\left( 10-x \\right)}^{2}}\\]  D.\\[{{x}^{2}}+{{6}^{2}}={{\\left( 10-x \\right)}^{2}}\\] <br/>若关于\\[x\\]的方程\\[{{x}^{2}}+2x-3=0\\]与\\[\\frac{2}{x+3}=\\frac{1}{x-a}\\]有一个解相同，则\\[a\\]的值为（  ）。<br/>A.1   B.1或\\[-3\\]   C.\\[-1\\]  D.\\[-1\\]或3<br/>若\\[{{x}_{1}}\\]、\\[{{x}_{2}}\\]是一元二次方程\\[{{x}^{2}}+3x-5=0\\]的两个根，则\\[x_{1}^{2}{{x}_{2}}+{{x}_{1}}x_{2}^{2}\\]的值是________.<br/>已知关于\\[x\\]的一元二次方程：\\[{{x}^{2}}-\\left( t-1 \\right)x+t-2=0\\]。<br/>（1）求证：对于任意实数\\[t\\]，方程都有实数根；<br/>（2）当\\[t\\]为何值时，方程的两个根互为相反数？请说明理由。<br/>
mjjczxzzsj8Bychs01	若\\[y=\\left( m+1 \\right){{x}^{m-1}}\\]是正比例函数，则\\[m\\]的值为（   ）。<br/>
mjjczxzzsj8Bychs02	将直线\\[y=2x\\]的图象向上平移两个单位，所得直线的函数关系式为（   ）。<br/>
mjjczxzzsj8Bychs03	一次函数\\[y=3x-4\\]的图象不经过（   ）。<br/>
mjjczxzzsj8Bychs04	下列函数：(1)\\[y=\\pi x\\]；(2)\\[y=2x-1\\]；(3)\\[y=\\frac{1}{x}\\]；(4)\\[y={{2}^{-1}}-3x\\]；(5)\\[y={{x}^{2}}-1\\]．其中一次函数的有（   ）。<br/>
mjjczxzzsj8Bychs05	若\\[y+2\\]与\\[x+4\\]成正比例，则\\[y\\]是\\[x\\]的（   ）。<br/>
mjjczxzzsj8Bychs06	下列图象中，以方程\\[y-2x-2=0\\]的解为坐标的点组成的图象是（   ）。<br/>
mjjczxzzsj8Bychs07	已知一次函数\\[y=kx+b\\]，若\\[k+b=1\\]，则它的图象必过点（   ）。                      <br/>
mjjczxzzsj8Bychs08	点\\[{{P}_{1}}\\left( {{x}_{1}},{{y}_{1}} \\right)\\]和点\\[{{P}_{2}}\\left( {{x}_{2}},{{y}_{2}} \\right)\\]在同一直线\\[y=-4x+3\\]的图象上，且\\[{{x}_{1}} < {{x}_{2}}\\]，则\\[{{y}_{1}}\\]与\\[{{y}_{2}}\\]的关系是（   ）。<br/>
mjjczxzzsj8Bychs09	如图①，在直角梯形\\[ABCD\\]中，动点\\[P\\]从点\\[B\\]出发，沿\\[BC\\]、\\[CD\\]运动至点\\[D\\]停止，设点\\[P\\]运动的路程为\\[x\\]，\\[\\vartriangle ABP\\]的面积为\\[y\\]．若\\[y\\]关于\\[x\\]的函数图象如图②所示，则\\[\\vartriangle BCD\\]的面积是（   ）。<br/>
mjjczxzzsj8Bychs10	已知一次函数\\[y=-5x+2\\]，则这个一次函数\\[y\\]随\\[x\\]的增大而______．<br/>
mjjczxzzsj8Bychs11	若一次函数的图象过点\\[A\\left( -2,4 \\right)\\]，且与\\[y\\]轴交于\\[\\left( 0,-3 \\right)\\]，则这个函数的关系式是____________．<br/>
mjjczxzzsj8Bychs12	如果一次函数\\[y=kx+\\left( k-1 \\right)\\]的图象经过原点，那么\\[k=\\_\\_\\_\\_\\_\\_.\\]<br/>
mjjczxzzsj8Bychs13	在平面直角坐标系中，将直线\\[y=-2x+1\\]向下平移4个单位长度后，所得直线的函数关系式为______．<br/>
mjjczxzzsj8Bychs14	如图，已知一次函数\\[y=kx+b\\]的图象，当\\[x< 2\\]时，\\[y\\]的取值范围是______ .  <br/>
mjjczxzzsj8Bychs15	若直线\\[y=x+m\\]与直线\\[y=-2x+4\\]的交点在\\[x\\]轴上，则\\[m=\\_\\_\\_\\_\\_\\_\\_\\_.\\]<br/>
mjjczxzzsj8Bychs16	已知两直线\\[{{y}_{1}}=kx+4\\]，\\[{{y}_{2}}=x\\]，两直线\\[{{y}_{1}}\\]，\\[{{y}_{2}}\\]与\\[y\\]轴围成的面积是4，则\\[k=\\_\\_\\_\\_\\_\\_.\\]<br/>
mjjczxzzsj8Bychs17	（1）求点\\[\\left( 2,-4 \\right)\\]是否在一次函数\\[y=-3x+1\\]的图像上？<br/>（2）已知一次函数\\[y=-2x+1\\]图象上的点\\[M\\]到\\[x\\]轴的距离为7，且\\[M\\]在第二象限，求点\\[M\\]的坐标．<br/>
mjjczxzzsj8Bychs18	已知函数\\[y=\\left( 1-2m \\right)x+m+1\\]，求当\\[m\\]为何值时<br/>（1）\\[y\\]随着\\[x\\]的增大而增大？<br/>（2）与\\[y=2x\\]平行？<br/>（3）图像经过第一、二、四象限？<br/>（4）图像经过第一、三象限？<br/>（5）图像与\\[y\\]轴的交点在\\[x\\]轴的上方？<br/>
mjjczxzzsj8Bychs19	已知直线\\[l\\]直线\\[y=2x+4\\]的交点\\[P\\]的横坐标为3，与直线\\[y=-x-11\\]的交点\\[Q\\]的纵坐标为\\[-8\\]，求直线\\[l\\]的函数关系式．<br/>
mjjczxzzsj8Bychs20	已知直线\\[{{y}_{1}}=-2x+4\\]与直线\\[{{y}_{2}}=\\frac{2}{3}x-4\\]，<br/>（1）求两直线交点的坐标<br/>（2）求两直线与\\[x\\]轴所围成的三角形的面积．<br/>
mjjczxzzsj8Bychs21	如图所示，直线\\[{{l}_{1}},{{l}_{2}}\\]分别表示一种白炽灯和一种节能灯的费用\\[y\\] (费用=灯的售价+电费，单位:元)与照明时间\\[x\\left( h \\right)\\]的函数关系图像，假设两种灯的使用寿命都是\\[2000h\\]，照明效果一样.<br/>（1）根据图像分别求出\\[{{l}_{1}},{{l}_{2}}\\]的函数表达式.<br/>（2）当照明时间为多少时，两种灯的费用相同?<br/>（3）小亮房间计划照明\\[2500h\\]，他买了一个白炽灯和一个节能灯，请你帮他设计最省钱的用灯方法.<br/>
mjmkylkszyb8Bp10c0103	下列各式：\\[\\frac{2}{x},\\frac{x+2}{2},\\frac{x-xy}{x},3x+\\frac{y}{3},\\frac{2}{\\pi +2},\\frac{3{{x}^{2}}-4}{0.5}\\].其中分式有（  ）<br/>
mjmkylkszyb8Bp10c0104	（2016·衡阳）如果分式\\[\\frac{3}{x-1}\\]有意义，则\\[x\\]的取值范围是（）<br/>
mjmkylkszyb8Bp10c0105	（2016·连云港）若分式\\[\\frac{x-1}{x+2}\\]的值为零，则（）<br/>
mjmkylkszyb8Bp10c0106	若不论\\[x\\]取何实数，分式\\[\\frac{2x-3}{{{x}^{2}}+6x+m}\\]总有意义，则\\[m\\]的取值范围是（）<br/>
mjmkylkszyb8Bp10c010701	（2016·常州）若分式\\[\\frac{1}{x+1}\\]有意义，则\\[x\\]的取值范围是______；<br/>
mjmkylkszyb8Bp10c010702	已知分式\\[\\frac{x-3}{{{x}^{2}}-5x+a}\\]，当\\[x=2\\]时，分式无意义，则\\[a=\\]_______.<br/>
mjmkylkszyb8Bp10c010801	已知分式\\[\\frac{{{x}^{2}}-1}{x+1}\\]的值为零，那么\\[x\\]的值是______；<br/>
mjmkylkszyb8Bp10c010802	如果分式\\[\\frac{\\left| x \\right|-1}{{{x}^{2}}+x-2}\\]的值为零，那么\\[x\\]的值为_______.<br/>
mjmkylkszyb8Bp10c0109	求分式\\[\\frac{x+1}{3-2x}\\]的值：<br/>（1）\\[x=2\\]；<br/>（2）\\[x=-\\frac{3}{5}\\]<br/>
mjmkylkszyb8Bp10c0110	当\\[x\\]满足什么条件时，分式\\[\\frac{{{x}^{2}}+2x+1}{x-2}\\]的值为负数？\	 <br/>
mjmkylkszyb8Bp10c0111	下列各式中，属于分式的是（）<br/>
mjmkylkszyb8Bp10c0112	（2016·天水）已知分式\\[\\frac{\\left( x-1 \\right)\\left( x+2 \\right)}{{{x}^{2}}-1}\\]的值为零，那么\\[x\\]的值是（）<br/>
mjmkylkszyb8Bp10c011301	（2016·营口）若分式\\[\\frac{2a+3}{a-1}\\]有意义，则\\[a\\]的取值范围是_____；<br/>
mjmkylkszyb8Bp10c011302	当\\[x\\]______时，分式\\[\\frac{3}{x-2}\\]无意义.<br/>
mjmkylkszyb8Bp10c011401	当\\[x=\\]______时，分式\\[\\frac{x-2}{2x+5}\\]的值为零；<br/>
mjmkylkszyb8Bp10c011402	若分式\\[\\frac{\\left| x \\right|-3}{x+3}\\]的值为零，则\\[x\\]的值为______；<br/>
mjmkylkszyb8Bp10c011403	若分式\\[\\frac{{{x}^{2}}-2x-3}{x+1}\\]的值为零，则\\[x\\]的值为_____；<br/>
mjmkylkszyb8Bp10c011404	当整数\\[x=\\]________时，分式\\[\\frac{6}{x-1}\\]的值是负整数.<br/>
mjmkylkszyb8Bp10c0115	已知点\\[\\left( \\frac{2018+{{n}^{2}}}{n+2},\\frac{2017}{n-8} \\right)\\]在第四象限，则\\[n\\]的取值范围是______.<br/>
mjmkylkszyb8Bp10c0116	求值：<br/>（1）（2016·衢州）\\[\\frac{5}{1-x}\\]，其中\\[x=6\\]；  （2）\\[\\frac{\\left| x \\right|}{2x-{{y}^{2}}}\\]其中\\[x=-1,y=-\\frac{1}{2}\\].<br/>
mjmkylkszyb8Bp10c0117	当\\[a=2\\]时，是否存在\\[x\\]，使得分式\\[\\frac{a+x}{{{a}^{2}}-{{x}^{2}}}\\]的值为零？ <br/>
mjmkylkszyb8Bp10c0118	当\\[x\\]为何值时，分式\\[\\frac{x+2}{3x-2}\\]的值为正数？\	 <br/>
mjmkylkszyb8Bp10c0114	填空<br/>
mjmkylkszyb8Bp10c0113	填空<br/>
mjmkylkszyb8Bp10c0108	填空<br/>
mjmkylkszyb8Bp10c0107	填空<br/>
mjkszyjsb7A6c7ks01	下列说法：①一条直线的平行线只有一条；②过一点与已知直线平行的直线只有一条；③过直线外一点与已知直线平行的直线只有一条；④在同一平面内，两条射线不相交，则这两条射线互相平行.其中，错误的说法有            （    ）<br/>
mjkszyjsb7A6c7ks02	下列说法，正确的是          （    ）<br/>
mjkszyjsb7A6c7ks03	如图，在6×8的方格纸内，与直线\\[AB\\]平行的直线有          （    ）<br/>
mjkszyjsb7A6c7ks04	（1）在同一平面内，直线\\[{{l}_{1}}{{l}_{2}}\\]满足下列条件，分别写出其对应的位置关系；<br/>①\\[{{l}_{1}}\\]与\\[{{l}_{2}}\\]没有公共点，则\\[{{l}_{1}}\\]与\\[{{l}_{2}}\\]_______；<br/>②\\[{{l}_{1}}\\]与\\[{{l}_{2}}\\]有且只有一个公共点，则\\[{{l}_{1}}\\]与\\[{{l}_{2}}\\]_______；<br/>③\\[{{l}_{1}}\\]与\\[{{l}_{2}}\\]有两个以上的公共点，则\\[{{l}_{1}}\\]与\\[{{l}_{2}}\\]_______.<br/>（2）如图，在长方体\\[ABCD-{A}'{B}'{C}'{D}'\\]中，与棱\\[AB\\]平行的棱是______________________；<br/>与棱\\[A{A}'\\]平行的棱是_______________________.<br/>
mjkszyjsb7A6c7ks05	如图，\\[AB//DC\\]，\\[E\\]为\\[AD\\]的中点.<br/>（1）过点\\[E\\]画，交\\[BC\\]于点\\[F\\].<br/>（2）线段\\[BF\\]和\\[CF\\]有怎样的数量关系？用刻度尺或圆规验证你的结论.<br/>
mjkszyjsb7A6c7ks06	同一平面内有互不重合的三条直线，如果只有两条直线平行，那么它们交点的个数为          （    ）<br/>
mjkszyjsb7A6c7ks07	判断下列说法是否正确，并说明理由.<br/>（1）已知\\[\\angle AOB\\]，\\[P\\]是任意一点，过点\\[P\\]画直线与\\[OA\\]平行，这样的直线只能画一条.（   ）<br/>理由：___________________________________________________________________.<br/>（2）过两条直线\\[ab\\]外一点\\[P\\]能画直线\\[c\\]，使\\[c//a\\]，且\\[c//b\\].                        （   ）<br/>理由：___________________________________________________________________.<br/>（3）如图，若\\[EF//AB\\]，\\[FC//AB\\]，则点\\[ECF\\]在一条直线上.                     （   ）<br/>理由：____________________________________________________________________.<br/>
mjkszyjsb7A6c7ks08	（1）按要求画图；<br/>①在图①中，\\[D\\]是\\[\\angle ABC\\]外的一点，先过点\\[D\\]画直线\\[DE//BC\\],交直线\\[AB\\]于点\\[E\\]，再过点\\[D\\]画直线\\[DF//AB\\],交\\[CB\\]的延长线于点\\[F\\]；<br/>②在图②中的三角形\\[OMN\\]的边\\[MN\\]上顺次取三等分点\\[PQ\\]，分别过点\\[PQ\\]画\\[OM\\]的平行线，交\\[ON\\]于点\\[ST\\].<br/>（2）度量图中\\[\\angle ABC\\angle DFC\\]的度数，以及\\[OSSTTN\\]的长度，你有什么发现？<br/>
mjkszyjsb7A6c7ks09	在如图所示的方格纸中，<br/>（1）利用网格的特征过点\\[E\\]画\\[{{l}_{1}}//AB\\]，\\[{{l}_{2}}//BC\\]；<br/>（2）通过观察、度量，\\[\\angle ABC\\]和\\[{{l}_{1}}\\]与\\[{{l}_{2}}\\]的夹角有怎样的数量关系（直接写出结论）？<br/>
mjkszyjsb7A6c8ks01	已知直线\\[ABCBl\\]在同一平面内，若\\[AB\\bot l\\]，垂足为\\[B\\]，\\[CB\\bot l\\]，垂足也为\\[B\\]，则符合题意的图形可以是         （    ）<br/>
mjkszyjsb7A6c8ks02	如图，\\[OA\\bot OB\\]，\\[\\angle 1=\\] 35°，则\\[\\angle 2\\]的度数是       （    ）<br/>
mjkszyjsb7A6c8ks03	在直线\\[AB\\]上任取一点\\[O\\]，过点\\[O\\]作射线\\[OCOD\\]，使\\[OC\\bot OD\\]，当\\[\\angle AOC=\\]30°时，\\[\\angle BOD\\]的度数为       （    ）<br/>
mjkszyjsb7A6c8ks04	（1）如图①，三角尺的直角顶点在直线\\[l\\]上，若\\[\\angle 1\\text{=}\\]40°，则\\[\\angle 2\\]的度数是_______；<br/>（2）如图②，\\[AB\\bot CD\\]于点\\[B\\]，\\[BE\\]是\\[\\angle ABD\\]的平分线，则\\[\\angle CBE=\\]_______°；<br/>（3）如图③，\\[FE\\bot AB\\]于点\\[E\\]，\\[CD\\]是过点\\[E\\]的直线，且\\[\\angle AEC=\\]120°，则\\[\\angle DEF\\]\\[\\text{=}\\]______°.<br/>
mjkszyjsb7A6c8ks05	如图，直线\\[BC\\]与\\[MN\\]相交于点\\[O\\]，\\[AO\\bot BC\\]于点\\[O\\]，\\[OE\\]平分\\[\\angle BON\\].已知\\[\\angle EON=\\]20°，求\\[\\angle AOM\\]和\\[\\angle NOC\\]的度数.<br/>
mjkszyjsb7A6c8ks06	如图，直线\\[ABCD\\]相交于点\\[O\\]，下列条件中，不能说明\\[AB\\bot CD\\]的是       （    ）<br/>
mjkszyjsb7A6c8ks07	如图，\\[OA\\]是北偏东30°方向的一条射线，若射线\\[OB\\]与\\[OA\\]垂直，则\\[OB\\]的方向是       （    ）<br/>
mjkszyjsb7A6c8ks08	如图，\\[CA\\bot BE\\]于点\\[A\\]，\\[AD\\bot BF\\]于点\\[D\\]，则下列说法正确的是       （    ）<br/>
mjkszyjsb7A6c8ks09	如图，直线\\[ABCD\\]相交于点\\[O\\]，\\[OE\\bot AB\\], \\[\\angle COE=\\]60°,则\\[\\angle BOD=\\]_______°.<br/>
mjkszyjsb7A6c8ks10	如图，利用网格的特征，过点\\[C\\]画直线\\[AB\\]的垂线\\[MN\\].<br/>
mjkszyjsb7A6c8ks11	如图，\\[OC\\bot AB\\]于点\\[O\\]，且\\[\\angle BOD=\\]30°\\[\\text{+}\\angle COD\\]，求\\[\\angle AOD\\]的度数.<br/>
mjkszyjsb7A6c8ks12	如图，\\[O\\]是直线\\[AB\\]上的一点，\\[\\angle AOC=\\] 40°，\\[OD\\]平分\\[\\angle AOC\\]，\\[\\angle COE=\\] 70°.<br/>（1）请你说明\\[DO\\bot OE\\]；<br/>（2）\\[OE\\]平分\\[\\angle BOC\\]吗？请说明理由.<br/>
mjkszyjsb7A6c9ks01	如图，在三角形\\[ABC\\]中，\\[BC=\\] 6，\\[AC=\\] 3，\\[CP\\bot AB\\]，垂足为\\[P\\]，则\\[CP\\]的长可能是      （    ）<br/>
mjkszyjsb7A6c9ks02	如图，\\[AB\\bot AC\\]，\\[AD\\bot BC\\]，垂足分别为\\[A\\]，\\[D\\]，则图中能表示点到直线距离的线段共有      （    ）<br/>
mjkszyjsb7A6c9ks03	如图，有三条公路，其中\\[AC\\bot AB\\],小明和小亮分别从\\[AB\\]处沿\\[ACBC\\]同时出发骑车到\\[C\\]处.若他们同时到达，则下列判断正确的是      （    ）<br/>
mjkszyjsb7A6c9ks04	（1）如图①，\\[AC\\bot {{l}_{1}}\\]，\\[AB\\bot {{l}_{2}}\\]，垂足分别为\\[AB\\]，则点\\[A\\]到直线\\[{{l}_{2}}\\]的距离是线段_____的长度.<br/><br/>（2）如图②，\\[AC\\bot BC\\],且\\[BC=5\\]，\\[AC=12\\]，\\[AB=13\\]，则点\\[A\\]到\\[BC\\]的距离等于_______，点\\[B\\]到点\\[A\\]的距离为_______.<br/>（3）如图③，在运动会上，甲、乙两名同学测得小明的跳远成绩分别为\\[PA\\text{=}\\]5.52米，\\[PB=\\] 5.13米，则小明跳远的真实成绩为_______.<br/><br/>
mjkszyjsb7A6c9ks05	如图，河边有一个村庄（近似看成点\\[A\\]），如果在河岸上建一个码头（近似看成点\\[B\\]），使村庄的人到码头最近，那么应如何选择码头\\[B\\]的位置？请画图表示，并说明设计理由.<br/>
mjkszyjsb7A6c9ks06	如图，三角形\\[ABC\\]是锐角三角形，过点\\[C\\]作\\[CD\\bot AB\\],垂足为\\[D\\]，则点\\[C\\]到直线\\[AB\\]的距离是      （    ）<br/>
mjkszyjsb7A6c9ks07	如图，\\[AD\\bot BD\\]，\\[BC\\bot CD\\]，\\[AB=5\\text{cm}\\]，\\[BC=3\\text{cm}\\]，则\\[BD\\]长度的取值范围是      （    ）<br/>
mjkszyjsb7A6c9ks08	如图，点\\[A\\]到直线\\[BC\\]的距离是线段______的长度，点\\[B\\]到直线\\[AC\\]的距离是线段______的长度，点\\[C\\]到直线\\[AB\\]的距离是线段_______的长度，\\[A\\]、\\[C\\]两点之间的距离是线段______的长度，\\[A\\]、\\[B\\]两点之间的距离是线段________的长度.<br/>
mjkszyjsb7A6c9ks09	如图，从书店到公路最近的是_____号路线，理由是__________________________________.<br/>
mjkszyjsb7A6c9ks10	在如图所示的网格中，每个小正方形的边长为1，每个小正方形的顶点都叫格点.已知线段\\[ABAC\\]的端点都在格点上.<br/> = 1 \\* GB2 ⑴利用网格的特征画图：在\\[AC\\]上标出格点\\[D\\]和\\[E\\]，并连接\\[BDBE\\]，使得\\[BD\\bot AB\\]，\\[BE\\bot AC\\]；<br/> = 2 \\* GB2 ⑵点\\[B\\]到\\[AC\\]的距离等于_______，点\\[A\\]到\\[BE\\]的距离等于_______;<br/> = 3 \\* GB2 ⑶线段\\[BD\\]和\\[BE\\]的大小关系是：\\[BD\\] ______\\[BE\\]（用“>”“<”或“=”填空）；<br/> = 4 \\* GB2 ⑷图中互余的角共有______对.<br/>
mjkszyjsb7A6c9ks11	如图.<br/>（1）画出\\[\\angle AOB\\]的平分线\\[OC\\].<br/>（2）在\\[OC\\]上任取一点\\[P\\]，测出\\[P\\]到\\[OAOB\\]的距离，并判断点\\[P\\]到\\[OAOB\\]的距离是否相等.<br/>（3）移动点\\[P\\]的位置，这种关系还存在吗？直接写出结论.<br/>
mjkszyb8Aqzzzjc04	有六根细木棒，它们的长度(单位:cm)分别为2、4、6、8、10、12.从中取出三根首尾顺次连接搭成一个直角三角形，则这三根细木棒的长度分别为（）<br/>
